Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
абрикосы,apricots,86.35,48,1.4,0.39,0.75,11.12,2.0,9.24,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054000000000000006,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027000000000000003,0.17,0.077,0.0,155.0,"1 cup,  halves",165.0,"1 cup, sliced",7.0,абрикос,cluster 25
"apricots,cnd,ex hvy syrup pk,wo/skn,sol&liquids","apricots,cnd,ex hvy syrup pk,wo/skn,sol&liquids",74.33,96,0.55,0.04,0.23,24.85,1.6,0.0,8.0,0.62,8.0,15.0,126.0,13.0,0.1,0.064,0.05,0.0,2.4,0.016,0.022,0.34,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,0.0,0.0,1471.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.017,0.008,0.0,246.0,"1 cup, whole, without pits",0.0,0,6.0,абрикос,cluster 25
"абрикосы, cnd, ex lt сироп pk, w/skn, sol & liquids","apricots,cnd,ex lt syrup pk,w/skn,sol&liquids",86.3,49,0.6,0.1,0.5,12.5,1.6,0.0,10.0,0.3,6.0,12.0,140.0,2.0,0.08,0.04,0.052000000000000005,0.0,4.0,0.02,0.02,0.6,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,0.0,0.0,1271.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.043,0.02,0.0,247.0,"1 cup,  halves",0.0,0,0.0,абрикос,cluster 25
"абрикосы, cnd, h2o pk, w/skn, sol & liquids","apricots,cnd,h2o pk,w/skn,sol&liquids",92.36,27,0.71,0.16,0.38,6.39,1.6,4.79,8.0,0.32,7.0,13.0,192.0,3.0,0.11,0.08199999999999999,0.053,0.1,3.4,0.021,0.023,0.395,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,1.8,0.0,1959.0,98.0,0.0,0.0,1170.0,11.0,0.0,26.0,0.6,0.0,0.0,2.2,0.011,0.069,0.031,0.0,243.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0,абрикос,cluster 25
"абрикосы, cnd, h2o pk, wo/skn, sol & liquids","apricots,cnd,h2o pk,wo/skn,sol&liquids",93.43,22,0.69,0.03,0.38,5.48,1.1,0.0,8.0,0.54,9.0,16.0,154.0,11.0,0.11,0.068,0.053,0.0,1.8,0.02,0.024,0.4370000000000001,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,0.0,0.0,1810.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.013,0.006,0.0,227.0,"1 cup, whole, without pits",0.0,0,6.0,абрикос,cluster 25
"абрикосы, cnd, hvy сироп pk, wo/skn, sol & liquids","apricots,cnd,hvy syrup pk,wo/skn,sol&liquids",77.66,83,0.51,0.09,0.29,21.45,1.6,0.0,9.0,0.43,8.0,13.0,134.0,11.0,0.1,0.065,0.051,0.0,2.8,0.019,0.023,0.416,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,0.0,0.0,1240.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.037000000000000005,0.017,0.0,258.0,"1 cup, whole, without pits",0.0,0,6.0,абрикос,cluster 25
"абрикосы, cnd, hvy сироп, drnd","apricots,cnd,hvy syrup,drnd",77.56,83,0.64,0.11,0.38,21.31,2.7,18.65,10.0,0.3,7.0,13.0,143.0,4.0,0.11,0.097,0.0,0.1,3.1,0.021,0.024,0.376,0.0,0.055,2.0,0.0,2.0,2.0,2.8,0.0,2924.0,146.0,0.0,0.0,1746.0,16.0,0.0,39.0,0.89,0.0,0.0,3.3,0.006999999999999999,0.045,0.021,0.0,219.0,"1 cup,  halves",182.0,"1 cup, whole",0.0,абрикос,cluster 25
"абрикосы, cnd, juc pk, w/skn, sol&liquids","apricots,cnd,juc pk,w/skn,sol&liquids",86.62,48,0.63,0.04,0.37,12.34,1.6,10.74,12.0,0.3,10.0,20.0,165.0,4.0,0.11,0.054000000000000006,0.052000000000000005,0.1,4.9,0.018000000000000002,0.019,0.344,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,1.8,0.0,1691.0,85.0,0.0,0.0,1010.0,10.0,0.0,26.0,0.6,0.0,0.0,2.2,0.003,0.017,0.006999999999999999,0.0,244.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0,абрикос,cluster 25
"абрикос, cnd, lt сироп pk, w/skn, sol & liquids","apricots,cnd,lt syrup pk,w/skn,sol&liquids",82.56,63,0.53,0.05,0.37,16.49,1.6,14.89,11.0,0.39,8.0,13.0,138.0,4.0,0.11,0.079,0.052000000000000005,0.1,2.7,0.016,0.02,0.304,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,1.8,0.0,1322.0,66.0,0.0,0.0,789.0,7.0,0.0,26.0,0.6,0.0,0.0,2.2,0.003,0.021,0.01,0.0,253.0,"1 cup,  halves",40.0,"1 apricot, half with liquid",0.0,абрикос,cluster 25
"абрикосы,дегидрированные (низкая влажность),серные,stwd","apricots,dehyd (low-moisture),sulfured,stwd",63.6,126,1.93,0.24,1.61,32.62,0.0,0.0,24.0,2.48,25.0,62.0,728.0,5.0,0.39,0.227,0.145,0.0,7.1,0.013,0.067,1.63,0.468,0.161,2.0,0.0,2.0,2.0,0.0,0.0,4407.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.105,0.047,0.0,249.0,1 cup,0.0,0,0.0,абрикос,cluster 25
"абрикосы, дегидированные (низкая влажность), сульфированные, unckd","apricots,dehyd (low-moisture),sulfured,unckd",7.5,320,4.9,0.62,4.09,82.89,0.0,0.0,61.0,6.31,63.0,157.0,1850.0,13.0,1.0,0.5760000000000001,0.369,0.0,9.5,0.043,0.14800000000000002,3.58,1.067,0.52,4.0,0.0,4.0,4.0,0.0,0.0,12669.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.268,0.121,0.0,119.0,1 cup,0.0,0,0.0,абрикос,cluster 25
"абрикосы сушеные, сульфированные, unckd","apricots,dried,sulfured,unckd",30.89,241,3.39,0.51,2.57,62.64,7.3,53.44,55.0,2.66,32.0,71.0,1162.0,10.0,0.39,0.343,0.235,2.2,1.0,0.015,0.07400000000000001,2.589,0.516,0.14300000000000002,10.0,0.0,10.0,10.0,13.9,0.0,3604.0,180.0,0.0,0.0,2163.0,0.0,0.0,0.0,4.33,0.0,0.0,3.1,0.017,0.07400000000000001,0.07400000000000001,0.0,130.0,"1 cup,  halves",3.5,1 half,0.0,абрикос,cluster 25
"абрикосы, cnd, hvy сироп pk, w/skn, sol & liquids","apricots,cnd,hvy syrup pk,w/skn,sol&liquids",77.56,83,0.53,0.08,0.37,21.47,1.6,19.87,9.0,0.3,7.0,12.0,140.0,4.0,0.11,0.078,0.051,0.1,3.1,0.02,0.022,0.376,0.092,0.054000000000000006,2.0,0.0,2.0,2.0,1.8,0.0,1230.0,62.0,0.0,0.0,735.0,7.0,0.0,26.0,0.6,0.0,0.0,2.2,0.005,0.033,0.015,0.0,258.0,"1 cup,  halves",240.0,"1 cup, whole",0.0,абрикос,cluster 25
"абрикосы, сушеные, сульфированные, без сахара","apricots,dried,sulfured,stwd,wo/ sugar",75.56,85,1.2,0.18,0.91,22.15,2.6,19.57,19.0,0.94,11.0,25.0,411.0,4.0,0.14,0.121,0.083,0.8,0.3,0.005,0.026,0.915,0.211,0.051,3.0,0.0,3.0,3.0,4.9,0.0,1275.0,64.0,0.0,0.0,765.0,0.0,0.0,0.0,1.53,0.0,0.0,1.1,0.006,0.026,0.026,0.0,250.0,"1 cup,  halves",0.0,0,0.0,абрикос,cluster 25
"абрикосы,сырье","apricots,raw",86.35,48,1.4,0.39,0.75,11.12,2.0,9.24,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054000000000000006,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027000000000000003,0.17,0.077,0.0,155.0,"1 cup,  halves",165.0,"1 cup, sliced",7.0,абрикос,cluster 25
абрикосы замороженные подслащенные,"apricots,frozen,sweetened",73.3,98,0.7,0.1,0.8,25.1,2.2,0.0,10.0,0.9,9.0,19.0,229.0,4.0,0.1,0.064,0.05,0.4,9.0,0.02,0.04,0.8,0.2,0.06,2.0,0.0,2.0,2.0,0.0,0.0,1680.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.044,0.02,0.0,242.0,1 cup,0.0,0,0.0,абрикос,cluster 25
"абрикосы,сушеные,сульфированные,бережные,с сахаром","apricots,dried,sulfured,stwd,w/ sugar",68.45,113,1.17,0.15,0.98,29.26,4.1,0.0,15.0,1.52,15.0,38.0,443.0,3.0,0.24,0.138,0.08800000000000001,0.0,1.4,0.005,0.027000000000000003,0.853,0.191,0.103,0.0,0.0,0.0,0.0,0.0,0.0,2139.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.064,0.029,0.0,270.0,"1 cup,  halves",0.0,0,0.0,абрикос,cluster 25
абрикосовый нектар,apricot nectar,84.87,56,0.37,0.09,0.29,14.39,0.6,13.79,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.0,0.6,0.009000000000000001,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,1.0,0.0,1316.0,66.0,0.0,0.0,786.0,7.0,0.0,14.0,0.31,0.0,0.0,1.2,0.006,0.038,0.017,0.0,251.0,1 cup,31.4,1 fl oz,0.0,абрикосовый нектар,cluster 11
"абрикосовый нектар, cnd, с вит с","apricot nectar,cnd,w/ vit c",84.87,56,0.37,0.09,0.29,14.39,0.6,13.24,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.2,17.6,0.009000000000000001,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,0.0,0.0,1316.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.038,0.017,0.0,251.0,1 cup,31.4,1 fl oz,0.0,абрикосовый нектар,cluster 11
"абрикосовый нектар, cnd, wo/ vit c","apricot nectar,cnd,wo/ vit c",84.87,56,0.37,0.09,0.29,14.39,0.6,13.79,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.0,0.6,0.009000000000000001,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,1.0,0.0,1316.0,66.0,0.0,0.0,786.0,7.0,0.0,14.0,0.31,0.0,0.0,1.2,0.006,0.038,0.017,0.0,251.0,1 cup,31.4,1 fl oz,0.0,абрикосовый нектар,cluster 11
"авокадо, сырье, все общ. вар","avocados,raw,all comm var",73.23,160,2.0,14.66,1.58,8.53,6.7,0.66,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.142,0.4,10.0,0.067,0.13,1.7380000000000002,1.389,0.257,81.0,0.0,81.0,81.0,14.2,0.0,146.0,7.0,0.0,24.0,62.0,28.0,0.0,271.0,2.07,0.0,0.0,21.0,2.126,9.799,1.816,0.0,150.0,"1 cup, cubes",230.0,"1 cup, pureed",26.0,авокадо,cluster 12
"авокадо, сырье, флорида","avocados,raw,florida",78.81,120,2.23,10.06,1.08,7.82,5.6,2.42,10.0,0.17,24.0,40.0,351.0,2.0,0.4,0.311,0.095,0.0,17.4,0.021,0.053,0.672,0.931,0.078,35.0,0.0,35.0,35.0,0.0,0.0,140.0,7.0,0.0,27.0,53.0,36.0,0.0,0.0,2.66,0.0,0.0,0.0,1.96,5.513,1.676,0.0,230.0,"1 cup, pureed",304.0,"1 fruit, without skin and seeds",33.0,авокадо,cluster 12
авокадо,avocados,73.23,160,2.0,14.66,1.58,8.53,6.7,0.66,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.142,0.4,10.0,0.067,0.13,1.7380000000000002,1.389,0.257,81.0,0.0,81.0,81.0,14.2,0.0,146.0,7.0,0.0,24.0,62.0,28.0,0.0,271.0,2.07,0.0,0.0,21.0,2.126,9.799,1.816,0.0,150.0,"1 cup, cubes",230.0,"1 cup, pureed",26.0,авокадо,cluster 12
"авокадо, сырье, калифорния","avocados,raw,california",72.33,167,1.96,15.41,1.66,8.64,6.8,0.3,13.0,0.61,29.0,54.0,507.0,8.0,0.68,0.17,0.149,0.4,8.8,0.075,0.14300000000000002,1.912,1.463,0.287,89.0,0.0,89.0,89.0,14.2,0.0,147.0,7.0,0.0,24.0,63.0,27.0,0.0,271.0,1.97,0.0,0.0,21.0,2.126,9.799,1.816,0.0,230.0,"1 cup, pureed",136.0,"1 fruit, without skin and seed",33.0,авокадо,cluster 12
"агав, ckd (юго-запад)","agave,ckd (southwest)",65.4,135,0.99,0.29,1.32,32.0,10.6,20.87,460.0,3.55,39.0,9.0,59.0,13.0,0.25,0.112,0.142,0.2,0.3,0.012,0.099,0.162,0.041,0.087,3.0,0.0,3.0,3.0,8.8,0.0,113.0,6.0,0.0,0.0,68.0,0.0,0.0,0.0,0.36,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,агава,cluster 25
агава сушеная (юго-запад),"agave,dried (southwest)",11.64,341,1.71,0.69,3.98,81.98,15.6,50.7,770.0,3.64,207.0,37.0,767.0,14.0,12.1,0.189,0.337,0.6,0.3,0.021,0.644,0.87,0.15,0.21600000000000005,7.0,0.0,7.0,7.0,0.0,0.0,18.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.76,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,агава,cluster 25
"агав, сырье (юго-запад)","agave,raw (southwest)",81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,7.0,7.0,0.0,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.23,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,агава,cluster 25
агава,agave,81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,7.0,7.0,0.0,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.23,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,агава,cluster 25
"водоросли, агар, сырье","seaweed,agar,raw",91.32,26,0.54,0.03,1.36,6.75,0.5,0.28,54.0,1.86,67.0,5.0,226.0,9.0,0.58,0.061,0.373,0.7,0.0,0.005,0.022,0.055,0.302,0.032,85.0,0.0,85.0,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,2.3,0.006,0.003,0.01,0.0,10.0,"2 tbsp,  (1/8 cup)",0.0,0,0.0,агар,cluster 15
"водоросли, агар, сушенные","seaweed,agar,dried",8.68,306,6.21,0.3,3.93,80.88,7.7,2.97,625.0,21.4,770.0,52.0,1125.0,102.0,5.8,0.61,4.3,7.4,0.0,0.01,0.222,0.202,3.018,0.303,580.0,0.0,580.0,580.0,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,24.4,0.061,0.027000000000000003,0.102,0.0,0.0,0,0.0,0,0.0,агар,cluster 15
"agutuk, рыба/ягоды с маслом тюленя (мороженое) (на аляске)","agutuk,fish/berry w/ seal oil (ice cream) (alaska native)",47.3,353,3.4,31.8,4.1,13.4,0.5,0.0,8.0,0.3,7.0,46.0,70.0,21.0,0.18,0.03,0.13,0.0,2.9,0.04,0.05,0.55,0.02,0.01,3.0,0.0,3.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,7.7,14.4,8.4,10.0,0.0,0,0.0,0,0.0,агутук,cluster 16
"agutuk,meat-caribou (моложеное с аляски) (на аляске)","agutuk,meat-caribou (alaskan ice cream) (alaska native)",55.2,258,21.7,18.6,3.6,0.9,0.0,0.0,16.0,4.55,20.0,170.0,228.0,95.0,3.83,0.19,0.06,0.0,2.2,0.18,0.66,4.26,1.95,0.23,4.0,0.0,4.0,0.0,0.0,4.83,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,8.7,3.6,89.0,0.0,0,0.0,0,0.0,агутук,cluster 16
"agutuk,fish w/ shortening (alaskan ice cream) (на алясках","agutuk,fish w/ shortening (alaskan ice cream) (alaska native",34.0,470,9.0,43.5,3.0,10.5,0.0,0.0,0.0,0.2,16.0,134.0,206.0,24.0,0.47,0.03,0.0,0.0,0.0,0.06,0.06,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.6,15.6,17.3,26.0,0.0,0,0.0,0,0.0,агутук,cluster 16
агутук,agutuk,47.3,353,3.4,31.8,4.1,13.4,0.5,0.0,8.0,0.3,7.0,46.0,70.0,21.0,0.18,0.03,0.13,0.0,2.9,0.04,0.05,0.55,0.02,0.01,3.0,0.0,3.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,7.7,14.4,8.4,10.0,0.0,0,0.0,0,0.0,агутук,cluster 16
"айва,сырье","quinces,raw",83.8,57,0.4,0.1,0.4,15.3,1.9,0.0,11.0,0.7,8.0,17.0,197.0,4.0,0.04,0.13,0.0,0.6,15.0,0.02,0.03,0.2,0.081,0.04,3.0,0.0,3.0,3.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.036000000000000004,0.05,0.0,92.0,"1 fruit, without refuse",0.0,0,39.0,айва,cluster 25
айва,quinces,83.8,57,0.4,0.1,0.4,15.3,1.9,0.0,11.0,0.7,8.0,17.0,197.0,4.0,0.04,0.13,0.0,0.6,15.0,0.02,0.03,0.2,0.081,0.04,3.0,0.0,3.0,3.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.036000000000000004,0.05,0.0,92.0,"1 fruit, without refuse",0.0,0,39.0,айва,cluster 25
"акула, mxd sp, ckd, погруженная и жареная","shark,mxd sp,ckd,batter-dipped&fried",60.09,228,18.62,13.82,1.25,6.39,0.0,0.0,50.0,1.11,43.0,194.0,155.0,122.0,0.48,0.042,0.05,34.0,0.0,0.07200000000000001,0.097,2.783,0.62,0.3,15.0,10.0,5.0,22.0,0.0,1.21,180.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205,5.935,3.701,59.0,85.0,3 oz,0.0,0,0.0,акула,cluster 18
"акула, смешанные виды, сырье","shark,mixed species,raw",73.58,130,20.98,4.51,1.39,0.0,0.0,0.0,34.0,0.84,49.0,210.0,160.0,79.0,0.43,0.033,0.015,36.5,0.0,0.042,0.062,2.938,0.695,0.4,3.0,0.0,3.0,3.0,65.0,1.49,233.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,24.0,0.1,0.925,1.808,1.195,51.0,85.0,3 oz,0.0,0,0.0,акула,cluster 18
